Loss,LMI_category,EventID,tc_id,Iteration,LFI_ms
273433223.8,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-6-8,06. Aug,6,22.24698611
0,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-6-9,06. Sep,6,
65166736947,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-6-10,06. Okt,6,68.6
48383503171,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-0,7-0,7,47
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-1,07. Jan,7,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-2,07. Feb,7,
22723.01547,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-3,07. Mär,7,
0,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-4,07. Apr,7,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-5,07. Mai,7,
3765713802,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-6,07. Jun,7,41.4
326438207.5,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-7,07. Jul,7,25.7
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-8,07. Aug,7,
1.45575E+11,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-7-9,07. Sep,7,52.6
69625216.93,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-0,8-0,8,21.11093036
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-1,08. Jan,8,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-2,08. Feb,8,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-3,08. Mär,8,
10.8019385,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-4,08. Apr,8,
3126516081,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-5,08. Mai,8,46.2
0,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-6,08. Jun,8,
13581614.36,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-7,08. Jul,8,27.92863954
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-8-8,08. Aug,8,
0,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-9-0,9-0,9,
52478790129,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-9-1,09. Jan,9,38.62126743
6037054587,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-9-2,09. Feb,9,28.5
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-9-3,09. Mär,9,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-9-4,09. Apr,9,
22646321707,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-9-5,09. Mai,9,52.4
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-9-6,09. Jun,9,
39781418.24,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-9-7,09. Jul,9,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-0,10-0,10,
12852778.45,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-1,10. Jan,10,37
452008660.6,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-2,10. Feb,10,27.71196442
9233564302,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-3,10. Mär,10,42
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-4,10. Apr,10,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-5,10. Mai,10,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-6,10. Jun,10,
1007008073,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-7,10. Jul,10,31.3
0,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-8,10. Aug,10,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-9,10. Sep,10,
11674.50274,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-10,10. Okt,10,
2215765.813,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-10-11,10. Nov,10,20.92882459
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-0,11-0,11,18.2
420817721.5,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-1,11. Jan,11,27.7
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-2,11. Feb,11,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-3,11. Mär,11,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-4,11. Apr,11,
2049829270,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-5,11. Mai,11,28
184396223.1,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-6,11. Jun,11,34.32868525
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-7,11. Jul,11,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-8,11. Aug,11,
220152621.4,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-9,11. Sep,11,22.9
0,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-10,11. Okt,11,
54680776316,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-11,11. Nov,11,59
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-12,11. Dez,11,
3477.829097,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-13,Nov 13,11,
2162152231,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-11-14,Nov 14,11,33.5
70012382085,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-0,12-0,12,61.4
402888.5327,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-1,12. Jan,12,
2748485379,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-2,12. Feb,12,29.12841375
802831.5985,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-3,12. Mär,12,15.0194815
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-4,12. Apr,12,
553812421.3,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-5,12. Mai,12,30.4373544
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-6,12. Jun,12,
35555687.19,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-7,12. Jul,12,33
321.4148156,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-8,12. Aug,12,
2259689.552,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-9,12. Sep,12,15.70569239
163154693.1,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-10,12. Okt,12,19.5
369558.713,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-11,12. Nov,12,25.2
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-12,12. Dez,12,
120623593.2,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-13,Dez 13,12,
29335362365,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-14,Dez 14,12,29.1
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-15,Dez 15,12,
0,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-12-16,Dez 16,12,
67119419.4,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-13-0,13-0,13,19.7
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-13-1,13. Jan,13,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-13-2,13. Feb,13,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-13-3,13. Mär,13,
289837.615,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-13-4,13. Apr,13,16.2900853
2640745.122,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-13-5,13. Mai,13,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-13-6,13. Jun,13,
0,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-0,14-0,14,
944862183.3,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-1,14. Jan,14,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-2,14. Feb,14,
0,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-3,14. Mär,14,
93447698.67,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-4,14. Apr,14,
18945107028,4,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-5,14. Mai,14,40.4
73663402.29,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-6,14. Jun,14,22.7
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-7,14. Jul,14,
2.211442472,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-8,14. Aug,14,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-9,14. Sep,14,
0,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-10,14. Okt,14,
419221.4685,3,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-14-11,14. Nov,14,30.43364741
12647346.67,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-0,15-0,15,
0,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-1,15. Jan,15,
410601217.4,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-2,15. Feb,15,21.53645562
406.1862243,1,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-3,15. Mär,15,
1115773365,2,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-4,15. Apr,15,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-5,15. Mai,15,
0,0,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-6,15. Jun,15,
44498419235,5,STORM_DATA_IBTRACS_NA_1000_YEARS_0.txt-15-7,15. Jul,15,69
